PK_Mortalidad,PK_Fecha,PK_Localidad,Muertes_Totales,Muertes_Totales_Hombres,Muertes_Totales_Mujeres,Muertes_CIE10_Agrupada,Muertes_CIE10_Basica
160,202108,8,21,12,9,21,21
161,202109,1,13,8,5,13,13
162,202109,2,10,7,3,10,10
163,202109,3,23,17,6,23,23
164,202109,4,6,5,1,6,6
165,202109,5,14,7,7,14,14
166,202109,6,21,7,14,21,21
167,202109,7,9,5,4,9,9
168,202109,8,8,1,7,8,8
169,202110,1,21,14,7,21,21
170,202110,2,4,2,2,4,4
171,202110,3,27,17,10,27,27
172,202110,4,7,4,3,7,7
173,202110,5,10,8,2,10,10
174,202110,6,27,16,11,27,27
175,202110,7,11,5,6,11,11
176,202110,8,5,3,2,5,5
177,202111,1,18,10,8,18,18
178,202111,2,8,6,2,8,8
179,202111,3,28,12,16,28,28
180,202111,4,7,5,2,7,7
181,202111,5,14,8,6,14,14
182,202111,6,22,13,9,22,22
183,202111,7,12,10,2,12,12
184,202111,8,17,11,6,17,17
185,202112,1,22,15,7,22,22
186,202112,2,10,5,5,10,10
187,202112,3,25,15,10,25,25
188,202112,4,3,2,1,3,3
189,202112,5,9,5,4,9,9
190,202112,6,24,16,8,24,24
191,202112,7,12,8,4,12,12
192,202112,8,17,8,9,17,17
193,202201,1,26,16,10,26,26
194,202201,2,9,6,3,9,9
195,202201,3,27,16,11,27,27
196,202201,4,8,6,2,8,8
197,202201,5,15,6,9,15,15
198,202201,6,29,17,12,29,29
199,202201,7,13,12,1,13,13
200,202201,8,10,5,5,10,10
201,202202,1,19,11,8,19,19
202,202202,2,6,5,1,6,6
203,202202,3,25,13,12,25,25
204,202202,4,6,5,1,6,6
205,202202,5,12,7,5,12,12
206,202202,6,25,11,14,25,25
207,202202,7,16,12,4,16,16
208,202202,8,9,3,6,9,9
209,202203,1,24,14,10,24,24
210,202203,2,11,10,1,11,11
211,202203,3,29,15,14,29,29
212,202203,4,8,4,4,8,8
213,202203,5,12,5,7,12,12
214,202203,6,18,10,8,18,18
215,202203,7,12,6,6,12,12
216,202203,8,11,9,2,11,11
217,202204,1,24,20,4,24,24
218,202204,2,6,3,3,6,6
219,202204,3,29,16,13,29,29
220,202204,4,7,5,2,7,7
221,202204,5,14,8,6,14,14
222,202204,6,27,17,10,27,27
223,202204,7,14,11,3,14,14
224,202204,8,10,7,3,10,10
225,202205,1,17,10,7,17,17
226,202205,2,7,4,3,7,7
227,202205,3,28,19,9,28,28
228,202205,4,8,5,3,8,8
229,202205,5,10,7,3,10,10
230,202205,6,30,15,15,30,30
231,202205,7,14,6,8,14,14
232,202205,8,15,5,10,15,15
233,202206,1,17,12,5,17,17
234,202206,2,6,4,2,6,6
235,202206,3,34,18,16,34,34
236,202206,4,9,2,7,9,9
237,202206,5,18,9,9,18,18
238,202206,6,24,12,12,24,24
239,202206,7,15,8,7,15,15
240,202206,8,14,8,6,14,14
241,202207,1,15,11,4,15,15
242,202207,2,5,5,0,5,5
243,202207,3,25,15,10,25,25
244,202207,4,8,6,2,8,8
245,202207,5,11,5,6,11,11
246,202207,6,32,14,18,32,32
247,202207,7,8,4,4,8,8
248,202207,8,11,7,4,11,11
249,202208,1,14,6,8,14,14
250,202208,2,7,2,5,7,7
251,202208,3,23,7,16,23,23
252,202208,4,4,4,0,4,4
253,202208,5,10,6,4,10,10
254,202208,6,25,17,8,25,25
255,202208,7,9,6,3,9,9
256,202208,8,11,5,6,11,11
