PK_LocalidadFecha,PK_Fecha,PK_Localidad,Poblacion_Total,Poblacion_Hombres,Poblacion_Mujeres
194,202201,2,390261,184113,206148
195,202201,3,1069465,513826,555639
196,202201,4,252491,123378,129113
197,202201,5,401520,194001,207519
198,202201,6,1239208,588067,651141
199,202201,7,572346,264113,308233
200,202201,8,392872,192020,200852
201,202202,1,659992,324114,335878
202,202202,2,390261,184113,206148
203,202202,3,1069465,513826,555639
204,202202,4,252491,123378,129113
205,202202,5,401520,194001,207519
206,202202,6,1239208,588067,651141
207,202202,7,572346,264113,308233
208,202202,8,392872,192020,200852
209,202203,1,659992,324114,335878
210,202203,2,390261,184113,206148
211,202203,3,1069465,513826,555639
212,202203,4,252491,123378,129113
213,202203,5,401520,194001,207519
214,202203,6,1239208,588067,651141
215,202203,7,572346,264113,308233
216,202203,8,392872,192020,200852
217,202204,1,659992,324114,335878
218,202204,2,390261,184113,206148
219,202204,3,1069465,513826,555639
220,202204,4,252491,123378,129113
221,202204,5,401520,194001,207519
222,202204,6,1239208,588067,651141
223,202204,7,572346,264113,308233
224,202204,8,392872,192020,200852
225,202205,1,659992,324114,335878
226,202205,2,390261,184113,206148
227,202205,3,1069465,513826,555639
228,202205,4,252491,123378,129113
229,202205,5,401520,194001,207519
230,202205,6,1239208,588067,651141
231,202205,7,572346,264113,308233
232,202205,8,392872,192020,200852
233,202206,1,659992,324114,335878
234,202206,2,390261,184113,206148
235,202206,3,1069465,513826,555639
236,202206,4,252491,123378,129113
237,202206,5,401520,194001,207519
238,202206,6,1239208,588067,651141
239,202206,7,572346,264113,308233
240,202206,8,392872,192020,200852
241,202207,1,659992,324114,335878
242,202207,2,390261,184113,206148
243,202207,3,1069465,513826,555639
244,202207,4,252491,123378,129113
245,202207,5,401520,194001,207519
246,202207,6,1239208,588067,651141
247,202207,7,572346,264113,308233
248,202207,8,392872,192020,200852
249,202208,1,659992,324114,335878
250,202208,2,390261,184113,206148
251,202208,3,1069465,513826,555639
252,202208,4,252491,123378,129113
253,202208,5,401520,194001,207519
254,202208,6,1239208,588067,651141
255,202208,7,572346,264113,308233
256,202208,8,392872,192020,200852
257,202209,1,659992,324114,335878
258,202209,2,390261,184113,206148
259,202209,3,1069465,513826,555639
260,202209,4,252491,123378,129113
261,202209,5,401520,194001,207519
262,202209,6,1239208,588067,651141
263,202209,7,572346,264113,308233
264,202209,8,392872,192020,200852
265,202210,1,659992,324114,335878
266,202210,2,390261,184113,206148
267,202210,3,1069465,513826,555639
268,202210,4,252491,123378,129113
269,202210,5,401520,194001,207519
270,202210,6,1239208,588067,651141
271,202210,7,572346,264113,308233
272,202210,8,392872,192020,200852
273,202211,1,659992,324114,335878
274,202211,2,390261,184113,206148
275,202211,3,1069465,513826,555639
276,202211,4,252491,123378,129113
277,202211,5,401520,194001,207519
278,202211,6,1239208,588067,651141
279,202211,7,572346,264113,308233
280,202211,8,392872,192020,200852
281,202212,1,659992,324114,335878
