"Estacion","Fecha inicial","Fecha final","CO"
"""USME""","2025-07-27 21:00","2025-07-27 21:59","400.715"
"""USME""","2025-07-27 20:00","2025-07-27 20:59","572.45"
"""USME""","2025-07-27 19:00","2025-07-27 19:59","538.103"
"""USME""","2025-07-27 18:00","2025-07-27 18:59","629.695"
"""USME""","2025-07-27 17:00","2025-07-27 17:59","480.858"
"""USME""","2025-07-27 16:00","2025-07-27 16:59","217.531"
"""USME""","2025-07-27 15:00","2025-07-27 15:59","240.429"
"""USME""","2025-07-27 14:00","2025-07-27 14:59","320.572"
"""USME""","2025-07-27 13:00","2025-07-27 13:59","206.082"
"""USME""","2025-07-27 12:00","2025-07-27 12:59","320.572"
"""USME""","2025-07-27 11:00","2025-07-27 11:59","435.062"
"""USME""","2025-07-27 10:00","2025-07-27 10:59","343.47"
"""USME""","2025-07-27 09:00","2025-07-27 09:59","320.572"
"""USME""","2025-07-27 08:00","2025-07-27 08:59","492.307"
"""USME""","2025-07-27 07:00","2025-07-27 07:59","400.715"
"""USME""","2025-07-27 06:00","2025-07-27 06:59","286.225"
"""USME""","2025-07-27 05:00","2025-07-27 05:59","217.531"
"""USME""","2025-07-27 04:00","2025-07-27 04:59","171.735"
"""USME""","2025-07-27 03:00","2025-07-27 03:59","194.633"
"""USME""","2025-07-27 02:00","2025-07-27 02:59","171.735"
"""USME""","2025-07-27 01:00","2025-07-27 01:59","228.98"
"""USME""","2025-07-27 00:00","2025-07-27 00:59","332.021"
"""USME""","2025-07-26 23:00","2025-07-26 23:59","457.96"
"""USME""","2025-07-26 22:00","2025-07-26 22:59","515.205"
"""USME""","2025-07-26 21:00","2025-07-26 21:59","881.573"
"""USME""","2025-07-26 20:00","2025-07-26 20:59","847.226"
"""USME""","2025-07-26 19:00","2025-07-26 19:59","732.736"
"""USME""","2025-07-26 18:00","2025-07-26 18:59","343.47"
"""USME""","2025-07-26 17:00","2025-07-26 17:59","366.368"
"""USME""","2025-07-26 16:00","2025-07-26 16:59","366.368"
"""USME""","2025-07-26 15:00","2025-07-26 15:59","389.266"
"""USME""","2025-07-26 14:00","2025-07-26 14:59","297.674"
"""USME""","2025-07-26 13:00","2025-07-26 13:59","320.572"
"""USME""","2025-07-26 12:00","2025-07-26 12:59","377.817"
"""USME""","2025-07-26 11:00","2025-07-26 11:59","343.47"
"""USME""","2025-07-26 10:00","2025-07-26 10:59","423.613"
"""USME""","2025-07-26 09:00","2025-07-26 09:59","435.062"
"""USME""","2025-07-26 08:00","2025-07-26 08:59","457.96"
"""USME""","2025-07-26 07:00","2025-07-26 07:59","938.818"
"""USME""","2025-07-26 06:00","2025-07-26 06:59","1099.104"
