"Estacion","Fecha inicial","Fecha final","SO2"
"""USME""","2025-07-28 10:00","2025-07-28 10:59","8.118"
"""USME""","2025-07-28 07:00","2025-07-28 07:59","7.594"
"""USME""","2025-07-28 06:00","2025-07-28 06:59","3.142"
"""USME""","2025-07-28 05:00","2025-07-28 05:59","4.713"
"""USME""","2025-07-28 04:00","2025-07-28 04:59","16.235"
"""USME""","2025-07-28 03:00","2025-07-28 03:59","33.518"
"""USME""","2025-07-28 02:00","2025-07-28 02:59","11.26"
"""USME""","2025-07-28 01:00","2025-07-28 01:59","2.619"
"""USME""","2025-07-28 00:00","2025-07-28 00:59","8.641"
"""USME""","2025-07-27 23:00","2025-07-27 23:59","4.975"
"""USME""","2025-07-27 22:00","2025-07-27 22:59","8.38"
"""USME""","2025-07-27 21:00","2025-07-27 21:59","4.19"
"""USME""","2025-07-27 20:00","2025-07-27 20:59","2.88"
"""USME""","2025-07-27 19:00","2025-07-27 19:59","3.928"
"""USME""","2025-07-27 18:00","2025-07-27 18:59","6.285"
"""USME""","2025-07-27 17:00","2025-07-27 17:59","8.641"
"""USME""","2025-07-27 16:00","2025-07-27 16:59","9.427"
"""USME""","2025-07-27 15:00","2025-07-27 15:59","11.26"
"""USME""","2025-07-27 14:00","2025-07-27 14:59","8.118"
"""USME""","2025-07-27 13:00","2025-07-27 13:59","7.07"
"""USME""","2025-07-27 12:00","2025-07-27 12:59","6.546"
"""USME""","2025-07-27 11:00","2025-07-27 11:59","1.571"
"""USME""","2025-07-27 10:00","2025-07-27 10:59","2.095"
"""USME""","2025-07-27 09:00","2025-07-27 09:59","2.357"
"""USME""","2025-07-27 08:00","2025-07-27 08:59","2.88"
"""USME""","2025-07-27 07:00","2025-07-27 07:59","2.357"
"""USME""","2025-07-27 06:00","2025-07-27 06:59","1.571"
"""USME""","2025-07-27 05:00","2025-07-27 05:59","1.309"
"""USME""","2025-07-27 04:00","2025-07-27 04:59","1.309"
"""USME""","2025-07-27 03:00","2025-07-27 03:59","1.047"
"""USME""","2025-07-27 02:00","2025-07-27 02:59","1.309"
"""USME""","2025-07-27 01:00","2025-07-27 01:59","1.571"
"""USME""","2025-07-27 00:00","2025-07-27 00:59","2.095"
"""USME""","2025-07-26 23:00","2025-07-26 23:59","5.499"
"""USME""","2025-07-26 22:00","2025-07-26 22:59","13.355"
"""USME""","2025-07-26 21:00","2025-07-26 21:59","1.833"
"""USME""","2025-07-26 20:00","2025-07-26 20:59","8.641"
